tempo,angolo,velocita angolare,input
1.764705882352941302e+01,-6.099695230165671234e+01,-2.403494874943412896e+01,-5.439141258471984486e+01
1.784313725490196134e+01,-6.561348113569074769e+01,-2.035242260480262999e+01,-1.564571557525756340e+01
1.803921568627450966e+01,-6.826029598047254865e+01,-4.747178117215398174e+00,4.964956064560259108e+01
1.823529411764705799e+01,-6.688294983878830635e+01,1.908971398377683926e+01,1.023015584106917544e+02
1.843137254901960631e+01,-6.100227855468943972e+01,3.872234237034557225e+01,1.084791667698528528e+02
1.862745098039215819e+01,-5.277947057510554885e+01,4.188270733592729300e+01,6.877364816251632362e+01
1.882352941176470651e+01,-4.563903409313006421e+01,2.922550310530996143e+01,1.316336742896944934e+01
1.901960784313725483e+01,-4.179260635333815088e+01,9.234701909178770762e+00,-2.963802691749098983e+01
1.921568627450980316e+01,-4.180524526200759539e+01,-8.493215852164299307e+00,-5.177982477228262326e+01
1.941176470588235148e+01,-4.472978038255980238e+01,-1.969738612093453156e+01,-5.746876567504907030e+01
1.960784313725490335e+01,-4.900366887164924634e+01,-2.355481703562127649e+01,-4.714630801175395902e+01
1.980392156862745168e+01,-5.335570121444941805e+01,-1.916935269210112480e+01,-2.014028294350973880e+01
2.000000000000000000e+01,-5.631112395766646017e+01,-1.005296505667767981e+01,1.203963423775749142e+01
2.019607843137254832e+01,-5.704347132258415343e+01,2.268050766363886694e+00,2.863238674142226969e+01
2.039215686274509665e+01,-5.587333383235814210e+01,8.029343316771061723e+00,2.113073383598788269e+01
2.058823529411764852e+01,-5.446136721285262894e+01,5.555510802688662153e+00,4.659125994276756444e+00
2.078431372549019684e+01,-5.375269394655971666e+01,2.072931912843904989e+00,1.110296587419197678e+00
2.098039215686274517e+01,-5.335552660312854556e+01,2.894128907284806207e+00,1.470278545811275706e+01
2.117647058823529349e+01,-5.228380888911618740e+01,8.664464027768982390e+00,3.127542744482262194e+01
2.137254901960784181e+01,-4.993139580987597270e+01,1.464314859364004562e+01,3.936004518864204726e+01
2.156862745098039014e+01,-4.683580593208193221e+01,1.706910544377710437e+01,4.228084185351666946e+01
2.176470588235294201e+01,-4.310549307301024413e+01,2.044485325277935672e+01,4.708774377816801859e+01
2.196078431372549034e+01,-3.892547705309919337e+01,2.306309116092939604e+01,5.127400146754057886e+01
2.215686274509803866e+01,-3.427404378069503821e+01,2.388235903710359764e+01,4.890022639284876504e+01
2.235294117647058698e+01,-2.954058180930931243e+01,2.349579497515210491e+01,4.470903538697572088e+01
2.254901960784313530e+01,-2.495053880623727238e+01,2.395944106352152048e+01,5.054009386751264543e+01
2.274509803921568718e+01,-2.008946755761141389e+01,2.692780617629463080e+01,6.611551319412352257e+01
2.294117647058823550e+01,-1.433737994217438150e+01,3.165715878303623043e+01,7.354336344658868541e+01
2.313725490196078383e+01,-7.918718101668314802e+00,3.238744246732679244e+01,5.774533012106052610e+01
2.333333333333333215e+01,-2.098335939408758843e+00,2.570785300778790372e+01,2.654459563006549061e+01
2.352941176470588047e+01,1.925703512844413989e+00,1.446844405430153380e+01,1.999373730360929358e+00
2.372549019607843235e+01,3.779728657521280066e+00,5.616108611835709752e+00,-5.745425515606735090e+00
2.392156862745098067e+01,4.481480424993501188e+00,2.078741341588278502e+00,-6.404557581928592924e+00
2.411764705882352899e+01,4.684767624218096671e+00,-5.222098702819755189e-03,-1.051313560406755698e+01
2.431372549019607732e+01,4.465459107373180636e+00,-2.166642081896421601e+00,-1.360978915344337459e+01
2.450980392156862564e+01,3.936401824163560992e+00,-2.821531699035171314e+00,-7.522602324542305041e+00
2.470588235294117752e+01,3.509253833854003801e+00,-1.354644063498770201e+00,-3.120283312101186368e-01
2.490196078431372584e+01,3.306094851816977709e+00,-1.470097563744346747e+00,-1.113529202557418252e+01
2.509803921568627416e+01,2.468101765644417078e+00,-8.487314577973572582e+00,-4.224505214880417725e+01
2.529411764705882248e+01,-3.972913377974707227e-01,-2.044937724693260606e+01,-6.656528846721228376e+01
2.549019607843137081e+01,-5.074164947859653552e+00,-2.632895495126093266e+01,-5.269680849614777429e+01
2.568627450980392268e+01,-9.720594478880654421e+00,-1.839336981411824468e+01,-5.955998231959309663e-01
2.588235294117647101e+01,-1.172516036888490021e+01,-7.940434536829421575e-01,5.430602960172865323e+01
2.607843137254901933e+01,-1.000239980311943455e+01,1.724220238779810899e+01,7.363341013274215641e+01
2.627450980392156765e+01,-5.551264792869750053e+00,2.544020470933210021e+01,4.962937223271831755e+01
2.647058823529411598e+01,-1.100972265983971132e+00,1.883360991043205246e+01,7.570448079980446110e+00
2.666666666666666785e+01,1.329791899262552812e+00,5.338259284074906574e+00,-1.953992321312861336e+01
2.686274509803921617e+01,1.271008487816307264e+00,-4.496898081012153270e+00,-1.748681482024466050e+01
2.705882352941176450e+01,2.091317473703834251e-01,-4.789302736440954611e+00,1.523580901403207122e+00
2.725490196078431282e+01,-2.281339702910578915e-01,4.896372321205513245e-01,1.234576898478145601e+01
2.745098039215686114e+01,1.594770605830509447e-01,2.299399474487632045e+00,4.853602204158918298e-01
2.764705882352941302e+01,1.969464109580686406e-01,-2.824039668800962133e+00,-2.312295432581238330e+01
2.784313725490196134e+01,-1.027840453562684608e+00,-9.106059968138849214e+00,-3.244754083799692523e+01
2.803921568627450966e+01,-2.990034386514314413e+00,-9.924337348288009508e+00,-1.572152529919423358e+01
2.823529411764705799e+01,-4.598839535805058887e+00,-5.795347726363044849e+00,8.296869939805693761e+00
2.843137254901960631e+01,-5.176380062334271059e+00,-5.681549579271774064e-01,1.134472336447258201e+01
2.862745098039215819e+01,-5.216764570804235390e+00,-1.052749888599768369e+00,-7.449702925519224195e+00
2.882352941176470651e+01,-5.874476597060050764e+00,-5.585644913333692507e+00,-1.780595933877327752e+01
2.901960784313725483e+01,-7.036681977769850604e+00,-4.744515020614311851e+00,1.016001175069893847e+00
2.921568627450980316e+01,-7.214658195117581663e+00,3.565935428770765192e+00,2.678550056517833866e+01
2.941176470588235148e+01,-5.812660148266776794e+00,9.078542600938284579e+00,1.909727597087990603e+01
2.960784313725489980e+01,-4.556795273441836436e+00,1.552805527797326057e+00,-2.339836576231342846e+01
2.980392156862745168e+01,-5.617238506793279740e+00,-1.228592983152813289e+01,-5.184699192197169282e+01
3.000000000000000000e+01,-8.688850039099007105e+00,-1.630457054386008764e+01,-2.680425825972143272e+01
