tempo,posizione,velocita,input
1.527752775277527775e+01,7.473934014531416654e-03,-1.229598859625153327e-02,4.172666312583785397e-01
1.527952795279527898e+01,7.449325881261585972e-03,-1.231126844734629563e-02,4.154480477757045986e-01
1.528152815281528198e+01,7.424687558782589770e-03,-1.232652177155364390e-02,4.136278021689838158e-01
1.528352835283528321e+01,7.400019120199041560e-03,-1.234174622476209501e-02,4.118059017206557870e-01
1.528552855285528622e+01,7.375320639814535000e-03,-1.235693951911775133e-02,4.099823537197744283e-01
1.528752875287528745e+01,7.350592193131819975e-03,-1.237209942302419131e-02,4.081571654619915446e-01
1.528952895289529046e+01,7.325833856852628258e-03,-1.238722376114258748e-02,4.063303442495149742e-01
1.529152915291529169e+01,7.301045708877850447e-03,-1.240231041439158327e-02,4.045018973910919358e-01
1.529352935293529292e+01,7.276227828307376376e-03,-1.241735731994739710e-02,4.026718322019688379e-01
1.529552955295529593e+01,7.251380295440169703e-03,-1.243236247124378593e-02,4.008401560038665767e-01
1.529752975297529716e+01,7.226503191774326026e-03,-1.244732391797198981e-02,3.990068761249563889e-01
1.529952995299530016e+01,7.201596600006922831e-03,-1.246223976608084108e-02,3.971719998998189394e-01
1.530153015301530139e+01,7.176660604034195562e-03,-1.247710817777664995e-02,3.953355346694280015e-01
1.530353035303530440e+01,7.151695288951359815e-03,-1.249192737152331201e-02,3.934974877811082128e-01
1.530553055305530563e+01,7.126700741052789147e-03,-1.250669562204220070e-02,3.916578665885185884e-01
1.530753075307530686e+01,7.101677047831859817e-03,-1.252141126031226792e-02,3.898166784516117200e-01
1.530953095309530987e+01,7.076624297981017574e-03,-1.253607267356999025e-02,3.879739307366092405e-01
1.531153115311531110e+01,7.051542581391843575e-03,-1.255067830530934118e-02,3.861296308159772317e-01
1.531353135313531411e+01,7.026431989154898264e-03,-1.256522665528188136e-02,3.842837860683853690e-01
1.531553155315531534e+01,7.001292613559901776e-03,-1.257971627949664752e-02,3.824364038786902675e-01
1.531753175317531834e+01,6.976124548095555267e-03,-1.259414579022026352e-02,3.805874916378931272e-01
1.531953195319531957e+01,6.950927887449714383e-03,-1.260851385597683456e-02,3.787370567431230794e-01
1.532153215321532080e+01,6.925702727509240944e-03,-1.262281920154803734e-02,3.768851065975961090e-01
